"","condo_name","district","age"
"768","FABER CREST","05",16
"769","FABER GARDEN CONDO","20",34
"770","FABER HILLS APARTMENTS","05",40
"771","FABER TERRACE","05",NA
"772","FAEZ BUILDING","14",12
"773","FAIRHAVEN","09",NA
"774","FAIRLODGE APARTMENT","10",19
"775","FAIRMOUNT CONDO","16",18
"776","FAIRWOOD PARK","21",25
"777","FALCON VILLAS","11",NA
"778","FAMILIE MANSIONS","14",NA
"779","FANTA GARDEN","28",NA
"780","FAR EAST PLAZA RESIDENCES","09",NA
"781","FAR HORIZON GARDEN","20",31
"782","FARRER PARK SUITES","08",7
"783","FENARA COURT","15",NA
"784","FENG LAI MANSION","14",NA
"785","FERN LODGE","14",NA
"786","FERNHILL COTTAGE","10",18
"787","FERNHILL COURT","10",37
"788","FERNHILL LODGE","10",27
"789","FERNWOOD TERRACE","15",26
"790","FERNWOOD TOWERS","15",24
"791","FERRA","09",1
"792","FERRARIA PARK","17",8
"793","FERRELL RESIDENCES","10",5
"794","FIFTEEN ROBIN","10",6
"795","FIFTH AVENUE CONDO","10",20
"796","FIFTY-TWO STEVENS","10",6
"797","FINLAND GARDENS","15",29
"798","FIORENZA","19",6
"799","FIRST POINT SUITES","15",5
"800","FIVE CHANCERY","11",7
"801","FLAME TREE PARK","20",29
"802","FLAMINGO VALLEY","15",4
"803","FLO RESIDENCE","19",2
"804","FLORA EAST","15",25
"805","FLORAVIEW","20",0
"806","FLORAVILLE","28",0
"807","FLORIDA PARK","28",25
"808","FLORIDIAN","21",7
"809","FLORISSA PARK","26",30
"810","FLYNN PARK","05",32
"811","FOH PIN GARDEN","19",NA
"812","FONTAINE PARRY","19",8
"813","FONTANA HEIGHTS","10",33
"814","FOOK HAI BUILDING","01",NA
"815","FORESQUE RESIDENCES","23",3
"816","FOREST HILLS","27",14
"817","FORESTVILLE","25",2
"818","FORT GARDENS","15",25
"819","FORTE SUITES","08",0
"820","FORTUNA GARDENS","19",NA
"821","FORTUNE CENTRE","07",NA
"822","FORTUNE JADE","15",14
"823","FORTUNE PARK","19",22
"824","FORTUNE SPRING","15",15
"825","FORTVILLE","15",14
"826","FOUR SEASONS PARK","10",24
"827","FRAGRANCE COURT","05",NA
"828","FRAGRANT GARDENS","19",25
"829","FRANKEL ESTATE","15",NA
"830","FRASER PLACE","09",NA
"831","FRASER RESIDENCE SINGAPORE","09",NA
"832","FRASER SUITES","10",NA
"833","FREESIA WOODS","21",14
"834","FRUITION","15",10
"835","FU YUEN BUILDING","07",NA
"836","FUDU PARK","26",28
"837","FULCRUM","15",2
"838","FULTON HILL","20",NA
"839","FUTURA","09",42
"840","FUYONG ESTATE","21",NA
"841","FUYUEN COURT","14",21
"842","G RESIDENCES","15",2
"843","GABRIEL VILLAS","19",23
"844","GAIA","12",3
"845","GALAXY TOWER","15",29
"846","GALLERY 8","15",14
"847","GALLERY FIFTEEN","12",NA
"848","GALLOP COURT","10",NA
"849","GALLOP GABLES","10",21
"850","GALLOP GREEN","10",16
"851","GALLOP PARK","10",NA
"852","GALLOP RIDGE","10",24
"853","GALLOP VILLAS","10",NA
"854","GAMBIER COURT","09",19
"855","GAMBIR RIDGE","19",3
"856","GAO MING HUA YUAN","21",28
"857","GARDEN APARTMENTS","10",NA
"858","GARDEN PARK RESIDENCES","15",3
"859","GARDEN VIEW ESTATE","19",NA
"860","GARDENVILLE","10",18
"861","GARDENVISTA","21",12
"862","GARLICK PARK","10",NA
"863","GARLICK VILLE","10",22
"864","GAY'S VILLAS","13",NA
"865","GEK LIM MANSIONS","14",NA
"866","GEMINI APARTMENTS","15",NA
"867","GENESIS","09",NA
"868","GENTLE REFLECTIONS","11",9
"869","GENTLE VIEW","11",NA
"870","GENTLE VILLAS","11",22
"871","GERALD GARDENS","28",28
"872","GERALD PARK","28",25
"873","GERALD RESIDENCE","28",17
"874","GEYLANG HERITAGE","14",19
"875","GEYLANG MANSIONS","14",NA
"876","GIDEON'S LODGE","15",NA
"877","GIFFARD MANSION","12",NA
"878","GILLENIA","19",9
"879","GILSTEAD 38","11",17
"880","GILSTEAD 68","11",6
"881","GILSTEAD APARTMENT","11",NA
"882","GILSTEAD BROOKS","11",13
"883","GILSTEAD COURT","11",40
"884","GILSTEAD MANSION","11",27
"885","GILSTEAD TWO","11",4
"886","GISBORNE LIGHT","10",NA
"887","GLAMOUR VILLE","15",15
"888","GLASGOW RESIDENCE","19",5
"889","GLENDALE PARK","23",18
"890","GLENFIELD APARTMENTS","15",NA
"891","GLENTREES","10",13
"892","GLOBAL RESIDENCE @ TIONG BAHRU","03",11
"893","GLOBAL VILLE","12",18
"894","GLORIA MANSION","05",NA
"895","GLOUCESTER MANSIONS","11",18
"896","GOLD COAST CONDO","05",24
"897","GOLD PALM MANSIONS","15",NA
"898","GOLDEN HEIGHTS","19",15
"899","GOLDEN HILL ESTATE","19",NA
"900","GOLDEN MILE COMPLEX","07",NA
"901","GOLDEN RISE ESTATE","21",NA
"902","GOLDENHILL PARK CONDOMINIUM","20",14
"903","GOLDENHILL VILLAS","19",13
"904","GOLDHILL GARDENS","11",NA
"905","GOLDHILL PLAZA","11",NA
"906","GOLDHILL TOWERS","11",NA
"907","GOLDLEAF GARDENS","15",26
"908","GOLDLEAF MANSIONS","15",25
"909","GOODLINK PARK","27",36
"910","GOODLUCK GARDEN","21",34
"911","GOODMAN CREST","15",6
"912","GOODVIEW APARTMENT","14",NA
"913","GOODWILL COURT","15",NA
"914","GOODWILL MANSION","12",34
"915","GOODWOOD GARDEN","10",14
"916","GOODWOOD GRAND","10",0
"917","GOODWOOD RESIDENCE","10",5
"918","GPL TERRACE","13",NA
"919","GRACE APARTMENTS","14",NA
"920","GRACE COURT","16",NA
"921","GRACE GARDEN","15",NA
"922","GRACE PARK","19",NA
"923","GRACIOUS MANSIONS","15",NA
"924","GRAMERCY PARK","10",2
"925","GRAND CHATEAU","21",21
"926","GRAND DUCHESS AT ST PATRICK","15",9
"927","GRAND REGALIA","19",14
"928","GRAND REGENCY","21",18
"929","GRAND RESIDENCE","15",12
"930","GRAND TOWER","11",40
"931","GRANDE VISTA","28",25
"932","GRANDEUR 8","20",13
"933","GRANDIOSO 8","20",3
"934","GRANDLINK SQUARE","14",20
"935","GRANGE 120","10",18
"936","GRANGE 70","10",19
"937","GRANGE 80","10",18
"938","GRANGE HEIGHTS","10",42
"939","GRANGE INFINITE","10",7
"940","GRANGE RESIDENCES","10",14
"941","GRANGE ROAD APARTMENTS","10",NA
"942","GRAY MANSIONS","15",NA
"943","GREAT WORLD SERVICE APARTMENTS","10",NA
"944","GREEN COURT","14",32
"945","GREEN HILL ESTATE","19",NA
"946","GREEN LODGE","21",34
"947","GREEN SPRINGS","28",NA
"948","GREENLANE APARTMENTS","15",NA
"949","GREENRIDGE","21",31
"950","GROSVENOR VIEW","14",13
"951","GRYPHON TERRACE","05",22
"952","GUAN SOON TERRACE","16",27
"953","GUILIN COURT","14",23
"954","GUILIN MANSIONS","14",24
"955","GUILIN VIEW","23",18
"956","GUILLEMARD APARTMENTS","14",NA
"957","GUILLEMARD EDGE","14",1
"958","GUILLEMARD SUITES","14",1
"959","GUILLEMARD VIEW","14",24
"960","H RESIDENCES","15",3
"961","H2O RESIDENCES","28",3
"962","HACIENDA GROVE","15",24
"963","HAI SING PARK","19",NA
"964","HAIG 162","15",5
"965","HAIG APARTMENTS","15",NA
"966","HAIG COURT","15",14
"967","HAIG ELEVEN","15",12
"968","HAIG GROVE","15",NA
"969","HAIG LODGE","15",18
"970","HAIG MANSIONS","15",NA
"971","HAIG RESIDENCES","15",6
"972","HAIG TEN","15",16
"973","HAIGSVILLE","15",14
"974","HALLMARK RESIDENCES","10",3
"975","HAMPTON COURT","10",NA
"976","HANA","09",4
"977","HANSON COURT","12",NA
"978","HAPPY ESTATE","20",NA
"979","HAPPY GARDENS","13",NA
"980","HAPPY MANSION","13",NA
"981","HAPPY PARK","20",NA
"982","HARBOUR SUITES","04",4
"983","HARBOUR VIEW GARDENS","05",33
"984","HARBOUR VIEW TOWERS","04",24
"985","HARBOURLIGHTS","04",21
"986","HARBOURSIDE APARTMENTS","04",21
"987","HARMONY @ 1A","19",11
"988","HARMONY MANSION","15",34
"989","HARVEST MANSIONS","03",19
"990","HARVEY VIEW","16",27
"991","HAWAII TOWER","15",34
"992","HAZEL PARK CONDOMINIUM","23",17
"993","HAZEL PARK TERRACE","23",20
"994","HEDGES PARK CONDOMINIUM","17",4
"995","HEETON PARK","26",NA
"996","HEJI GARDEN","15",NA
"997","HELICONIA LODGE","16",NA
"998","HELIOS RESIDENCES","09",7
"999","HENLEY GARDENS","19",13
"1000","HENRY PARK APARTMENTS","10",NA
"1001","HERITAGE APARTMENTS","10",24
"1002","HERITAGE EAST","15",6
"1003","HERITAGE PLACE","07",19
"1004","HERITAGE RESIDENCES","15",10
"1005","HERITAGE VIEW","05",18
"1006","HERON BAY","19",2
"1007","HERTFORD COLLECTION","08",5
"1008","HERTFORD MANSION","08",42
"1009","HIGH OAK","21",18
"1010","HIGH PARK RESIDENCES","28",-2
"1011","HIGH POINT","09",45
"1012","HIGH STREET CENTRE","06",49
"1013","HIGHGATE CONDO","21",23
"1014","HIGHGATE PARK","21",25
"1015","HIGHLAND CENTRE","19",NA
"1016","HIGHLAND CONDO","19",25
"1017","HIGHLAND COTTAGES","19",NA
"1018","HIGHLAND RESIDENCES","19",12
"1019","HIGHLINE RESIDENCES","03",0
"1020","HIJAUAN","09",3
"1021","HILBRE 28","19",0
"1022","HILLBROOKS","23",19
"1023","HILLCREST ARCADIA","11",38
"1024","HILLCREST PARK","11",NA
"1025","HILLCREST VILLA","11",8
"1026","HILLINGTON GREEN","23",15
"1027","HILLION RESIDENCES","23",2
"1028","HILLODGE","05",NA
"1029","HILLS APARTMENT","11",12
"1030","HILLS TWOONE","23",-1
"1031","HILLSIDE GARDENS","19",NA
"1032","HILLSIDE HOMES","11",NA
"1033","HILLSIDE MANSIONS","19",25
"1034","HILLSTA","23",1
"1035","HILLTOP GROVE","23",16
"1036","HILLTOPS","09",7
"1037","HILLVIEW 128","23",17
"1038","HILLVIEW APARTMENTS","23",20
"1039","HILLVIEW COURT","23",NA
"1040","HILLVIEW ESTATE","23",NA
"1041","HILLVIEW GREEN","21",20
"1042","HILLVIEW HEIGHTS","23",22
"1043","HILLVIEW PARK","23",23
"1044","HILLVIEW REGENCY","23",13
"1045","HILLVIEW RESIDENCE","23",15
"1046","HILLVIEW VILLAS","23",25
"1047","HILLVISTA","23",5
"1048","HOA NAM BUILDING","08",NA
"1049","HOCK MANSION","09",NA
"1050","HOCK SENG PARK","21",NA
"1051","HOCK SWEE HILL","28",NA
"1052","HOLLAND 100","10",7
"1053","HOLLAND COURT","10",NA
"1054","HOLLAND GEMS","10",NA
"1055","HOLLAND GREEN","10",20
"1056","HOLLAND GROVE PARK","10",21
"1057","HOLLAND HILL LODGE","10",NA
"1058","HOLLAND HILL PARK","10",26
"1059","HOLLAND MANSION","10",NA
"1060","HOLLAND MEWS","10",14
"1061","HOLLAND PEAK","10",24
"1062","HOLLAND RESIDENCES","10",6
"1063","HOLLAND SUITES","10",NA
"1064","HOLLAND TOWER","10",42
"1065","HOLLAND VALE","10",NA
"1066","HOLLANDIA","10",33
"1067","HOLLANDSWOOD COURT","10",NA
"1068","HOLLYWOOD APARTMENTS","10",NA
"1069","HOLLYWOOD PARK","11",NA
"1070","HOLT RESIDENCES","10",17
"1071","HOMES AT EASTWOOD PLACE","16",19
"1072","HOMES AT HOLLAND PARK","10",11
"1073","HOMEY GARDENS","15",14
"1074","HONG HENG GARDEN","26",31
"1075","HONG HENG MANSION","26",22
"1076","HONG HENG TERRACE","26",NA
"1077","HONG JOO PARK","15",NA
"1078","HONG LEONG GARDEN SHOPPING CENTRE","05",NA
"1079","HONOLULU TOWER","10",33
"1080","HOOT KIAM MANSION","09",NA
"1081","HOOVER PARK","21",NA
"1082","HORIZON GARDENS","20",16
"1083","HORIZON GREEN","20",15
"1084","HORIZON RESIDENCES","05",4
"1085","HORIZON TOWERS","09",34
"1086","HOUGANG GREEN","19",20
"1087","HOW SUN GARDEN","19",NA
"1088","HOW SUN PARK","19",NA
"1089","HUA COURT","19",NA
"1090","HUA GUAN GARDEN","21",NA
"1091","HUA MEI GARDEN","23",NA
"1092","HUA XIN COURT","16",28
"1093","HUA YU MANSION","14",NA
"1094","HULLET COURT","09",NA
"1095","HULLET RISE","09",NA
"1096","HUME HEIGHTS","21",NA
"1097","HUME PARK I","21",22
"1098","HUME PARK II","21",21
"1099","HUNDRED TREES","05",5
"1100","I RESIDENCES","12",7
"1101","ICON","02",11
"1102","ICON @ PASIR PANJANG","05",0
"1103","IDYLLIC EAST","16",7
"1104","IDYLLIC RESIDENCES","15",9
"1105","IDYLLIC SUITES","14",4
"1106","ILIV @ GRANGE","10",5
"1107","ILLOURA","10",7
"1108","ILLUMINAIRE ON DEVONSHIRE","09",7
"1109","IMPERIAL HEIGHTS","15",9
"1110","INFINIUM","19",0
"1111","INOVA 100","15",10
"1112","INSTITUTION VILLE","09",NA
"1113","INTERNATIONAL PLAZA","02",42
"1114","INTERO","13",9
"1115","IRIDIUM","11",11
"1116","ISLAND COUNTRY VILLAS","20",19
"1117","ISLAND GARDENS","20",NA
"1118","ISLAND PARK","20",NA
"1119","ISLAND VIEW","05",34
"1120","ISUITES @ MARSHALL","15",5
"1121","ISUITES @ PALM","19",5
"1122","ISUITES @ TANI","19",6
"1123","IVORY","15",8
"1124","IVORY APARTMENTS","15",NA
"1125","IVORY HEIGHTS","22",25
"1126","J COURT","15",NA
"1127","J GATEWAY","22",2
"1128","JADE GARDEN","10",NA
"1129","JADE GARDENS","11",NA
"1130","JADE MANSION","10",33
"1131","JADE RESIDENCES","19",1
"1132","JADE TOWERS","19",39
"1133","JADE VILLE","19",NA
"1134","JALAN BESAR PLAZA","08",NA
"1135","JANSEN 28","19",18
"1136","JANSEN 8","19",7
"1137","JANSEN LODGE","19",NA
"1138","JANSEN MANSION","19",28
"1139","JANSEN SPRING","19",21
"1140","JARDIN","21",6
"1141","JASMINE COURT","20",33
"1142","JAYA TOWER","10",NA
"1143","JC COURT","15",19
"1144","JC DRAYCOTT","10",20
"1145","JC RESIDENCE","15",12
"1146","JC VILLE","15",NA
"1147","JERSEY LODGE","15",18
"1148","JERVIOS MEADOWS","10",NA
"1149","JERVOIS COURT","10",NA
"1150","JERVOIS GARDENS","10",20
"1151","JERVOIS GREEN","10",NA
"1152","JERVOIS GROVE","10",NA
"1153","JERVOIS JADE","10",18
"1154","JERVOIS LODGE","10",21
"1155","JERVOIS MANSIONS","10",33
"1156","JERVOIS REGENCY","10",15
"1157","JERVOIS VIEW","10",32
"1158","JEWEL @ BUANGKOK","19",1
"1159","JEWEL @ CHUAN HOE","19",NA
"1160","JEWEL OF BALMORAL","10",18
"1161","JEWELS LODGE","14",NA
"1162","JI XIANG COURT","15",NA
"1163","JIA","09",6
"1164","JIN DING GARDEN","16",NA
"1165","JJH RESIDENCES","13",NA
"1166","JK BUILDING","21",NA
"1167","JLB RESIDENCES","17",10
"1168","JOO CHIAT APARTMENTS","15",NA
"1169","JOO CHIAT COURT","15",NA
"1170","JOO CHIAT HOUSE","15",NA
"1171","JOO CHIAT MANSION","15",NA
"1172","JOOL SUITES","08",5
"1173","JUBILEE RESIDENCE","05",10
"1174","JULUCA","05",8
"1175","JUNIPER AT ARDMORE","10",27
"1176","JUPITER 18","15",5
"1177","JURONG VIEW APARTMENTS","22",NA
"1178","KALLANG RIVERSIDE","12",-1
"1179","KAP RESIDENCES","21",0
"1180","KARTAR APARTMENTS","11",NA
"1181","KASARA","04",6
"1182","KASTURINA LODGE","10",19
"1183","KATONG APARTMENTS","15",22
"1184","KATONG GARDENS","15",34
"1185","KATONG OMEGA APARTMENT","15",NA
"1186","KATONG PARK TOWERS","15",30
"1187","KATONG PLAZA","15",NA
"1188","KATONG REGENCY","15",3
"1189","KATONG VILLE","15",15
"1190","KECHUBONG TERRACE","28",NA
"1191","KELIVILLE","20",12
"1192","KELLETT COURT","11",21
"1193","KELLOCK LODGE","10",21
"1194","KELULUT HILL","28",20
"1195","KEMAMAN POINT","12",25
"1196","KEMBANGAN COURT","14",24
"1197","KEMBANGAN PLAZA","14",24
"1198","KEMBANGAN SUITES","14",7
"1199","KEMBANGAN VILLAS","14",14
"1200","KENG LEE COURT","08",NA
"1201","KENG LEE VIEW","08",NA
"1202","KENG YEE GARDEN","15",NA
"1203","KENSINGTON PARK","19",28
"1204","KENSINGTON SQUARE","19",1
"1205","KENT RESIDENCES","08",8
"1206","KENTISH COURT","08",18
"1207","KENTISH GREEN","08",19
"1208","KENTISH LODGE","08",18
"1209","KENTVIEW PARK","05",24
"1210","KERRISDALE","08",12
"1211","KEW COTTAGE","16",31
"1212","KEW GATE","16",21
"1213","KEW GREEN CONDO","16",20
"1214","KEW LODGE","11",29
"1215","KEW RESIDENCIA","16",21
"1216","KEW VALE","16",21
"1217","KHEAM HOCK GARDEN","11",30
"1218","KIARA TEN","14",8
"1219","KILAT CENTRE","21",NA
"1220","KILAT COURT","21",19
"1221","KILLINEY 118","09",5
"1222","KIM COURT","14",NA
"1223","KIM KEAT GARDENS","12",15
"1224","KIM KEAT HOUSE","12",19
"1225","KIM KEAT LODGE","12",18
"1226","KIM LIN PARK","09",NA
"1227","KIMNAN PARK","14",NA
"1228","KIMSIA COURT","09",NA
"1229","KING'S 8","10",8
"1230","KING'S APARTMENT","15",NA
"1231","KING'S ARCADE","10",NA
"1232","KING'S COURT","08",NA
"1233","KING'S GARDEN","10",NA
"1234","KING'S MANSION","15",38
"1235","KINGSFORD . HILLVIEW PEAK","23",2
"1236","KINGSFORD WATERBAY","19",0
"1237","KINGSGROVE CONDO","20",26
"1238","KINGSLEY MANSION","12",NA
"1239","KINGSTON TERRACE","14",23
"1240","KINGSVILLE","10",19
"1241","KISMIS COURT","21",33
"1242","KISMIS LODGE","21",NA
"1243","KISMIS VIEW","21",34
"1244","KJ MANSION","19",NA
"1245","KLASSIC COURT","15",13
"1246","KNOX VIEW","15",14
"1247","KOON SENG COURT","15",NA
"1248","KOVAN 81","19",NA
"1249","KOVAN APARTMENTS","19",NA
"1250","KOVAN COURT","19",37
"1251","KOVAN CREST","19",NA
"1252","KOVAN ESQUIRE","19",20
"1253","KOVAN GARDEN","19",NA
"1254","KOVAN GRANDEUR","19",6
"1255","KOVAN LODGE","19",23
"1256","KOVAN MELODY","19",12
"1257","KOVAN PRIMERA","19",13
"1258","KOVAN REGENCY","19",2
"1259","KOVAN RESIDENCES","19",7
"1260","KOVANA","19",11
"1261","KUIE PONG LOFT","10",5
"1262","KUM HING COURT","10",NA
"1263","KURAU COURT","15",NA
"1264","L'VIV","11",4
"1265","LA BELLE","19",12
"1266","LA BRISA","14",6
"1267","LA CASA","25",9
"1268","LA CRYSTAL","09",22
"1269","LA DOLCE VITA","19",6
"1270","LA FIESTA","19",1
"1271","LA FLEUR","14",3
"1272","LA MAISON","11",18
"1273","LA MEYER","15",24
"1274","LA NOUVELLE","10",13
"1275","LA SALLE VILLAS","15",16
"1276","LA SUISSE I","11",24
"1277","LA SUISSE II","11",24
"1278","LA SUISSE TERRACE","11",26
"1279","LA VIDA @ 130","15",4
"1280","LA VILLE","15",31
"1281","LADYHILL PARK","10",28
"1282","LADYVALE","10",NA
"1283","LAGOON VIEW","15",NA
"1284","LAGUNA 88 CONDO","16",18
"1285","LAGUNA GREEN","16",20
"1286","LAGUNA PARK","15",NA
"1287","LAKE LIFE","22",1
"1288","LAKEHOLMZ","22",13
"1289","LAKEPOINT CONDO","22",35
"1290","LAKESHORE","22",11
"1291","LAKESIDE APARTMENT","22",NA
"1292","LAKESIDE GROVE","22",19
"1293","LAKESIDE TOWERS","22",37
"1294","LAKEVIEW APARTMENT","20",NA
"1295","LAKEVIEW GARDENS","11",NA
"1296","LAKEVILLE","22",0
"1297","LAN'S PLACE","10",NA
"1298","LANDBAY CONDO","16",19
"1299","LANDMARK TOWER","03",33
"1300","LANDRIDGE CONDO","05",25
"1301","LANGE 28","19",10
"1302","LANGSTON VILLE","09",19
"1303","LANSON PLACE","09",NA
"1304","LARSHIMI VILLA","19",NA
"1305","LATITUDE","10",8
"1306","LAUREL TREE","23",1
"1307","LAUW AND SONS GARDEN","20",NA
"1308","LAVERNE'S LOFT","15",4
"1309","LE ARC","14",NA
"1310","LE CONNEY PARK","15",33
"1311","LE CRESCENDO","14",12
"1312","LE GAMBIR","19",NA
"1313","LE GROVE SERVICE APARTMENTS","10",NA
"1314","LE HILL CONDO","05",20
"1315","LE LOYANG","17",24
"1316","LE M RESIDENCE","15",13
"1317","LE MARICAN","14",8
"1318","LE MERRITT","15",10
"1319","LE NOUVEL ARDMORE","10",3
"1320","LE REGAL","14",2
"1321","LE REVE","14",9
"1322","LE ROYCE @ LEITH PARK","19",12
"1323","LE SHANTIER","12",21
"1324","LE SOMME","08",1
"1325","LE WILKIE","09",22
"1326","LE WOOD","21",18
"1327","LEEDON 2","10",21
"1328","LEEDON PARK","10",NA
"1329","LEEDON RESIDENCE","10",3
"1330","LEGEND @ JANSEN","19",10
"1331","LEGENDA @ JOO CHIAT","15",13
"1332","LEICESTER LODGE","13",15
"1333","LEICESTER SUITES","13",5
"1334","LEIGHWOODS","10",NA
"1335","LEITH GROVE","19",11
"1336","LEITH PARK","19",NA
"1337","LENIK SERVICE APARTMENTS","08",NA
"1338","LENTOR VIEW","26",26
"1339","LENTOR VILLAS","26",20
"1340","LEONIE CONDOTEL","09",21
"1341","LEONIE GARDENS","09",25
"1342","LEONIE HILL RESIDENCES","09",13
"1343","LEONIE PARC VIEW","09",9
"1344","LEONIE STUDIO","09",12
"1345","LEONIE TOWERS","09",43
"1346","LERMIT LODGE","10",NA
"1347","LESHAN GARDENS","14",NA
"1348","LEVENUE","14",2
"1349","LEVILLE ISUITES","15",2
"1350","LEW MANSION","10",NA
"1351","LEWIS LODGE","10",NA
"1352","LIANG APARTMENTS","15",NA
"1353","LIANG SEAH COURT","07",NA
"1354","LIANG SEAH PLACE","07",NA
"1355","LIBERTE","10",3
"1356","LIEN TOWERS","10",NA
"1357","LILAC PARK","28",28
"1358","LILYDALE","26",15
"1359","LIM TAI SEE WALK","10",24
"1360","LIMAU PARK","16",27
"1361","LIMAU VILLAS","16",20
"1362","LINCOLN SUITES","11",4
"1363","LION TOWERS","11",NA
"1364","LIRIA TERRACE","17",20
"1365","LIV ON SOPHIA","09",0
"1366","LIV ON WILKIE","09",-1
"1367","LIVIA","18",7
"1368","LIVINGSTON MANSIONS","15",NA
"1369","LLOYD COURT","09",NA
"1370","LLOYD MANSION","09",NA
"1371","LLOYD SIXTYFIVE","09",2
"1372","LLYN GARDENS","19",27
"1373","LODGE 77","16",NA
"1374","LOFT @ HOLLAND","10",4
"1375","LOFT @ NATHAN","10",4
"1376","LOFT @ RANGOON","08",5
"1377","LOFT @ STEVENS","10",4
"1378","LONG HUA YUAN","14",NA
"1379","LONG NIAN COURT","15",NA
"1380","LONG'S COURT","10",NA
"1381","LONGBEACH TOWNHOUSES","05",NA
"1382","LORNIE 18","11",10
"1383","LORNIE GARDENS","11",25
"1384","LOTUS AT BARKER","11",NA
"1385","LOTUS AT JERVOIS","10",NA
"1386","LOTUS AT JOO CHIAT","15",NA
"1387","LOTUS VILLE","15",1
"1388","LOYANG COURT","17",21
"1389","LOYANG GARDENS","17",NA
"1390","LOYANG GREEN","17",NA
"1391","LOYANG MANSION","17",NA
"1392","LOYANG TOWNHOUSES CONDO","17",NA
"1393","LOYANG VALLEY","17",33
"1394","LOYANG VILLAS","17",22
"1395","LUCIDA","11",7
"1396","LUCKY COURT","16",NA
"1397","LUCKY HILL","16",NA
"1398","LUCKY PARK","10",NA
"1399","LUCKY PLAZA APARTMENTS","09",NA
"1400","LUCKY TOWER","10",37
"1401","LUCKY VILLAS","16",NA
"1402","LUMA","09",8
"1403","LUSH ACRES","19",2
"1404","LUSH ON HOLLAND HILL","10",6
"1405","LUSHAN GARDEN","19",NA
"1406","LUTHERAN TOWERS","10",NA
"1407","LUXE VILLE","05",5
"1408","LUXUS HILLS","28",5
"1409","LYNNSVILLE 331","05",9
"1410","LYNWOOD EIGHT","13",8
"1411","M21","11",6
"1412","M5","10",1
"1413","M66","12",2
"1414","MABELLE","15",9
"1415","MACKENZIE 138","09",12
"1416","MACKENZIE 88","09",9
"1417","MACKENZIE MANSION","09",12
"1418","MACKENZIE REGENCY","09",NA
"1419","MACPHERSON GARDEN ESTATE","13",NA
"1420","MACPHERSON GREEN","13",35
"1421","MADEIRA COURT","15",22
"1422","MADISON RESIDENCES","10",6
"1423","MAKEWAY VIEW","09",NA
"1424","MALVERN SPRINGS","15",14
"1425","MANDALAY MANSION","11",NA
"1426","MANDALAY TOWERS","11",NA
"1427","MANDALE HEIGHTS","11",14
"1428","MANDARIN GARDENS","15",32
"1429","MANDARIN PARK","21",NA
"1430","MANHATTAN MANSIONS","10",22
"1431","MANILA GARDENS","21",NA
"1432","MANSION 28","14",NA
"1433","MAPLEWOODS","21",21
"1434","MAR THOMA MANSIONS","12",NA
"1435","MARGATE POINT","15",NA
"1436","MARINA BAY RESIDENCES","01",8
"1437","MARINA BAY SUITES","01",5
"1438","MARINA COLLECTION","04",7
"1439","MARINA ONE","01",0
"1440","MARINE BLUE","15",1
"1441","MARINE GARDEN","15",NA
"1442","MARINE MANSION","15",NA
"1443","MARINE MEADOWS","15",NA
"1444","MARINE POINT CONDOMINIUM","15",33
"1445","MARINE VIEW MANSIONS","15",29
"1446","MARINE VILLE","15",NA
"1447","MARLENE VILLE","19",9
"1448","MARSHALL LODGE","15",22
"1449","MARSILING APARTMENTS","25",NA
"1450","MARTIA 8","15",16
"1451","MARTIA RESIDENCE","15",12
"1452","MARTIN EDGE","09",12
"1453","MARTIN NO.38","09",6
"1454","MARTIN PLACE RESIDENCES","09",7
"1455","MARTINA MANSION","10",18
"1456","MARYMOUNT TERRACE","20",NA
"1457","MARYMOUNT VIEW","20",26
"1458","MATLOCK RESIDENCES","13",7
"1459","MAYA","15",11
"1460","MAYBELLE LODGE","15",NA
"1461","MAYFAIR GARDENS","21",33
"1462","MAYFAIR PARK","21",NA
"1463","MAYFAIR RESIDENCES","15",2
"1464","MAYFLOWER GARDENS","20",NA
"1465","MAYFLOWER VILLE","20",NA
"1466","MAYSPRINGS","23",20
"1467","MAYVIEW TOWNHOUSE","20",NA
"1468","MEADOW LODGE","21",13
"1469","MEADOWS @ PEIRCE","26",6
"1470","MEDGE","11",11
"1471","MEDWAY PARK","05",NA
"1472","MEI GARDENS","12",NA
"1473","MEI HWAN VIEW","19",NA
"1474","MEIER SUITES","15",6
"1475","MEIHE GARDENS","13",NA
"1476","MELINIA COURT","15",NA
"1477","MELODY VILLAS","26",25
"1478","MELOSA","14",3
"1479","MELROSE PARK","10",18
"1480","MELROSE VILLE","15",7
"1481","MELVILLE PARK","18",22
"1482","MENDON SPRING","05",NA
"1483","MERA EAST","14",11
"1484","MERA GARDENS","23",20
"1485","MERA SPRINGS","08",10
"1486","MERA TERRACE","16",21
"1487","MERALODGE","23",21
"1488","MERAPRIME","03",12
"1489","MERAWOODS","23",19
"1490","MERGUI MANSIONS","08",23
"1491","MERIDIAN 38","15",4
"1492","MERLOT VILLE","15",NA
"1493","MERRYN VILLAS","11",NA
"1494","METRO LOFT","14",3
"1495","METROPOLITAN YMCA","10",NA
"1496","MEYA LODGE","13",13
"1497","MEYER MELODIA","15",1
"1498","MEYER PARK","15",33
"1499","MEYER RESIDENCE","15",9
"1500","MI CASA","23",6
"1501","MIA PLACE","15",21
"1502","MICHAELS' RESIDENCES","23",2
