name,type,rent,date
HOLLYWOOD APARTMENTS,Condo,3,18
76 SHENTON,Condo,5.61,18
SILVERSEA,Condo,4.2,18
THE SHORE RESIDENCES,Condo,4.39,18
THE SHORE RESIDENCES,Condo,3.6,18
THE SHORE RESIDENCES,Condo,3.87,18
THE SHORE RESIDENCES,Condo,3.99,18
ROCHELLE AT NEWTON,Condo,4.32,18
THE METROPOLITAN,Condo,4.17,18
AWARD DESIGN SEMI-D D9,NA,3.91,18
DESIGNER SEMI-D @ S.GDN,NA,1.79,18
PARC VISTA ,NA,2.17,18
SUN TRELLIS,NA,2.01,18
THE MERCURY @ D9-SHANGHAI ROAD,NA,4.21,18
BRENTWOOD VILLAS,NA,4.13,18
THE BLOSSOMVALE,Condo,3.1,18
SKY @ ELEVEN,Condo,3.98,18
THE CLIFT,NA,4.18,18
KURAU GROVE,NA,2.6,18
THE WINDSOR,Condo,1.53,18
CENTRAL SQUARE,NA,17.44,18
THE CENTRAL,NA,9.5,18
TEMPCO TECHNOMINIUM,NA,3.2,18
ORCHARD COURT,Condo,3.66,18
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE",NA,8.5,18
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE",NA,7,18
TEMPCO TECHNOMINIUM,NA,3.2,18
CENTRAL SQUARE,NA,7.8,18
KURAU GROVE,NA,2.6,18
THE WINDSOR,Condo,1.53,18
CENTRAL SQUARE,NA,17.44,18
THE CENTRAL,NA,9.5,18
TEMPCO TECHNOMINIUM,NA,3.2,18
ORCHARD COURT,Condo,3.66,18
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE",NA,8.5,18
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE",NA,7,18
TEMPCO TECHNOMINIUM,NA,3.2,18
CENTRAL SQUARE,NA,7.8,18
TEMPCO TECHNOMINIUM,NA,3.2,18
FAR EAST SQUARE,NA,6.5,18
FAR EAST SQUARE,NA,7.5,18
SPRING GROVE,Condo,2.11,18
ELIZABETH TOWERS,Condo,3.5,18
FAR EAST SQUARE,NA,7,18
FAR EAST SQUARE,NA,7.5,18
WATERFALL GARDENS,Condo,4.19,18
VERDURE,Condo,4.36,18
KALLANG RIVERSIDE,Condo,4.9,18
SELETAR PARK RESIDENCE,Condo,2.75,18
76 SHENTON,Condo,6.09,18
PATERSON RESIDENCE,NA,3.97,18
SHARELY WAREHOUSE,NA,1.47,18
WATERBANK AT DAKOTA,Condo,4.49,18
QUESTA @ DUNMAN,Condo,2.91,18
PARC SOPHIA,Condo,4.23,18
8 RODYK,Condo,3.47,18
 SIGLAP DRIVE,NA,2.78,18
8 RODYK,Condo,4.97,18
SELETAR PARK RESIDENCE,Condo,2.75,18
76 SHENTON,Condo,6.09,18
PATERSON RESIDENCE,NA,3.97,18
SHARELY WAREHOUSE,NA,1.47,18
WATERBANK AT DAKOTA,Condo,4.49,18
QUESTA @ DUNMAN,Condo,2.91,18
PARC SOPHIA,Condo,4.23,18
8 RODYK,Condo,3.47,18
 SIGLAP DRIVE,NA,2.78,18
8 RODYK,Condo,4.97,18
COASTAL BREEZE RESIDENCES,Condo,1.91,18
ALANA,NA,2.34,18
WHITLEY ROAD,NA,1.47,18
SUITES @ CAIRNHILL,Condo,4.37,18
SUITES @ CAIRNHILL,Condo,4.64,18
SUITES @ CAIRNHILL,Condo,5.07,18
THE COLONNADE,Condo,3.21,18
WOODGROVE ESTATE,NA,1.54,18
LOTUS AT PAYA LEBAR (WEST WING),Condo,3.79,18
TOWNERVILLE,NA,2.08,18
ROYAL PALM MANSIONS,Condo,2.77,18
LOTUS AT JOO CHIAT,Condo,3.02,18
LOTUS AT JOO CHIAT,Condo,2.81,18
LOTUS AT JOO CHIAT,Condo,3.42,18
LOTUS AT JOO CHIAT,Condo,3.59,18
LOTUS AT JOO CHIAT,Condo,5.1,18
SEVENTY ST PATRICK'S,Condo,4.29,18
MENARA BANGKOK BANK,NA,2.79,18
TIERRA VUE,Condo,3.41,18
LOTUS AT PAYA LEBAR (WEST WING),Condo,3,18
ROYAL PALM MANSIONS,Condo,2.77,18
LOTUS AT JOO CHIAT,Condo,3.02,18
LOTUS AT JOO CHIAT,Condo,2.81,18
LOTUS AT JOO CHIAT,Condo,3.42,18
LOTUS AT JOO CHIAT,Condo,3.59,18
LOTUS AT JOO CHIAT,Condo,5.1,18
SEVENTY ST PATRICK'S,Condo,4.29,18
MENARA BANGKOK BANK,NA,2.79,18
TIERRA VUE,Condo,3.41,18
LOTUS AT PAYA LEBAR (WEST WING),Condo,3,18
LOTUS AT PAYA LEBAR (EAST WING),Condo,3.2,18
LOTUS AT PAYA LEBAR (EAST WING),Condo,4.83,18
LOTUS AT PAYA LEBAR (EAST WING),Condo,4.49,18
PUNGGOL TOPAZ,NA,1.94,18
IPARC@TANJONG PELAPAS,NA,0.52,18
SOHO SUITES,NA,1.59,18
SIAK KEW AVENUE,NA,2.2,18
COMPASS HEIGHTS,Condo,2.35,18
THE TRILINQ,Condo,3.93,18
SKY VUE,Condo,4.42,18
TREESCAPE,Condo,4.87,18
GOODWOOD GARDEN,Condo,5.17,18
PREMIER@KAKI BUKIT,NA,2.31,18
TEMPCO TECHNOMINIUM,NA,3.24,18
TEMPCO TECHNOMINIUM,NA,3.17,18
TEMPCO TECHNOMINIUM,NA,3.2,18
SHOP SPACE FOR RENT!,NA,32.56,18
ORCHARD SCOTTS,Condo,4.81,18
ORANGE REGENCY,Condo,3.72,18
GRANGE 70,Condo,3.03,18
TREESCAPE,Condo,4.87,18
GOODWOOD GARDEN,Condo,5.17,18
PREMIER@KAKI BUKIT,NA,2.31,18
TEMPCO TECHNOMINIUM,NA,3.24,18
TEMPCO TECHNOMINIUM,NA,3.17,18
