condo_name,top_year,km_mrt
RIVERBAY,2015,
RIVERDALE RESIDENCE,2003,
RIVEREDGE,2008,0.59 - MOUNTBATTEN
RIVERGATE,2009,0.82 - FORT CANNING
RIVERIA GARDENS,2010,
RIVERIA POINT,1993,0.53 - SOMERSET
RIVERPARC RESIDENCE,2014,
RIVERSAILS,2017,
RIVERSHIRE,1991,0.69 - SOMERSET
RIVERSIDE 48,2001,0.52 - FORT CANNING
RIVERSIDE MELODIES,2014,
RIVERSIDE POINT,1993,
RIVERSOUND RESIDENCE,2015,
RIVERTREES RESIDENCES,2018,
RIVERVALE CREST,2003,1.02 - SENGKANG
RIVERWALK APARTMENTS,1990,0.15 - CLARKE QUAY
RIVIERA 38,2015,
RIVIERA RESIDENCES,2008,
RIZ HAVEN,2010,
ROBERTSON 100,2004,0.71 - FORT CANNING
ROBERTSON BLUE,2006,0.82 - FORT CANNING
ROBERTSON EDGE,2008,0.43 - FORT CANNING
ROBIN COURT,1988,
ROBIN REGALIA,2000,0.45 - STEVENS
ROBIN RESIDENCES,2016,
ROBIN SUITES,2015,
ROBINSON SUITES,2014,
ROCCA BALESTIER,2005,0.96 - FARRER PARK
ROCHELLE AT NEWTON,2012,
ROSALIA PARK,1995,0.58 - SERANGOON
ROSE VILLE,2001,
ROSEVALE,2003,0.4 - NOVENA
ROSEWOOD,2003,0.7 - WOODLANDS
ROSEWOOD SUITES,2012,
ROSYTH RESIDENCE,2007,
ROSYTH VILLE,2007,
ROYAL COURT,1998,
ROYALE MANSIONS,1992,
ROYALVILLE,1988,
ROYCE RESIDENCES,2013,
RV EDGE,2013,0.97 - TIONG BAHRU
RV POINT,2014,
RV RESIDENCES,2015,
RV SUITES,2012,0.96 - ORCHARD
SAGE,2012,
SANCTUARY @ 813,2011,
SANCTUARY GREEN,2004,0.76 - STADIUM
SANDILANDS RESIDENCES,2002,
SANDY ISLAND,2013,
SANDY PALM,2002,
SANFORD PARK,1991,
SANT RITZ,2017,
SANTA FE MANSIONS,1998,0.95 - MOUNTBATTEN
SAPPHIRE 99,2006,
SARACA GARDENS,1993,
SARACA VILLAS,2002,
SARHAD VILLE,1994,
SARKIES GARDENS,1997,0.22 - NEWTON
SARKIES GREEN,2015,
SAVANNAH CONDOPARK,2005,0.86 - UPPER CHANGI
SAVOY PARK,1996,
SCENIC HEIGHTS,2005,0.93 - NOVENA
SCOTTS 28,1999,0.43 - NEWTON
SCOTTS HIGHPARK,2009,0.11 - NEWTON
SCOTTS SQUARE,2010,0.26 - ORCHARD
SEA AVENUE MANSIONS,1998,
SEA AVENUE RESIDENCES,2006,
SEA ESTA,2015,
SEA HORIZON,2016,
SEAHILL,2016,
SEASCAPE,2010,3.33 - HARBOURFRONT
SEASIDE PARK,2000,
SEASONS PARK,1997,0.78 - YIO CHU KANG
SEASONS VIEW,2000,0.45 - MARYMOUNT
SEASTRAND,2014,
SEASUITES,2015,
SEAVIEW POINT,1994,
SECOND AVENUE JUNCTION,1997,
SELANTING GREEN,1998,
SELETAR PARK,1986,
SELETAR PARK RESIDENCE,2015,
SELETAR SPRINGS CONDO,2001,1.68 - BUANGKOK
SELETAR VIEW,2013,
SELETARIS,2001,1.3 - YISHUN
SEMBAWANG COTTAGE,1998,
SENNETT RESIDENCE,2017,
SENTOSA COVE,2008,
SERAYA 9,2009,
SERAYA BREEZE,2001,
SERAYA VILLE,1992,
SERENADE GARDENS,1988,
SERENITY BREEZE,2017,
SERENITY PARK,1995,
SETIA RESIDENCES,2004,0.47 - NEWTON
SEVEN CRESCENT,2014,
SEVEN HOLT ROAD,2000,0.86 - TIONG BAHRU
SEVEN OAKS,1998,
SEVEN PALMS SENTOSA COVE,2013,3 - HARBOURFRONT
SEVENTY SAINT PATRICK'S,2017,
SHAMROCK VILLAS,2014,
SHANGHAI ONE,2007,0.96 - TIONG BAHRU
SHEARES VILLE APARTMENTS,2004,0.84 - TIONG BAHRU
SHEBA LODGE,2002,
SHELFORD 23,2012,
SHELFORD GREEN,1983,0.38 - BOTANIC GARDENS
SHELFORD MANSIONS,1988,
SHELFORD REGENCY,1998,0.35 - TAN KAH KEE
SHELFORD SUITES,2011,
SHELFORD VIEW,1985,
SHERWOOD CONDO,1998,1 - BEAUTY WORLD
SHERWOOD TOWERS,1980,0.39 - BEAUTY WORLD
SHIRO,2015,
SIGLAP HILL 33,2009,
SIGLAP V,2012,1.44 - BEDOK
SIGNATURE @ LEWIS,2011,0.32 - STEVENS
SIGNATURE AT YISHUN,2018,
SIGNATURE PARK,1998,0.97 - BEAUTY WORLD
SIGNATURE RESIDENCE,2008,
SILVER HILL,1988,
SILVERSCAPE,2015,
SILVERSEA,2014,1.73 - DAKOTA
SIMEI GREEN,1999,0.45 - UPPER CHANGI
SIMS DORADO,2008,
SIMS EDGE,2016,
SIMS GREEN,2004,
SIMS MEADOWS,2002,
SIMS RESIDENCES,2003,0.36 - PAYA LEBAR
SIMS URBAN OASIS,2020,
SIMSVILLE,1998,0.51 - PAYA LEBAR
SIN MING PLAZA,1996,0.57 - MARYMOUNT
SINGA HILLS,2018,
SIXTH AVENUE CENTRE,1985,
SIXTH AVENUE VILLE,1999,0.24 - SIXTH AVENUE
SKIES MILTONIA,2016,
SKT MANSIONS,1993,
SKY @ ELEVEN,2010,0.74 - CALDECOTT
SKY GREEN,2016,
SKY HABITAT,2015,
SKY VUE,2017,
SKYLINE 360 @ ST THOMAS WALK,2013,
SKYLINE @ ORCHARD BOULEVARD,2015,
SKYLINE RESIDENCES,2015,0.26 - TELOK BLANGAH
SKYPARK @ SOMERSET,2009,
SKYPARK RESIDENCES,2017,
SKYSUITES 17,2014,
SKYSUITES @ ANSON,2015,0.27 - TANJONG PAGAR
SMART SUITES,2016,
SOHO 188,2008,0.21 - FARRER PARK
SOHO @ FARRER,2006,0.26 - FARRER PARK
SOL ACRES,2018,
SOLARIS RESIDENCES,2011,
SOLEIL @ SINARAN,2011,
SOMMERVILLE GRANDEUR,1996,0.29 - FARRER ROAD
SOMMERVILLE LOFT,2003,
SOMMERVILLE PARK,1978,0.49 - FARRER ROAD
SOMMERVILLE REGENCY,2007,0.71 - SERANGOON
SOMMERVILLE RESIDENCES,2013,
SOPHIA 88,2001,
SOPHIA 98,2002,0.43 - DHOBY GHAUT
SOPHIA HILLS,2017,
SOPHIA LODGE,2006,
SOPHIA MANSION,1992,
SOPHIA RESIDENCE,2014,0.35 - BENCOOLEN
SOUTHAVEN I,1997,0.75 - BEAUTY WORLD
SOUTHAVEN II,1999,0.62 - BEAUTY WORLD
SOUTHBANK,2009,0.25 - LAVENDER
SOVEREIGN @ SIMON,2009,
SPA BUILDING,1986,
SPACE @ KOVAN,2014,
SPANISH VILLAGE,1987,0.39 - FARRER ROAD
SPAZIO @ KOVAN,2018,
SPOTTISWOODE 18,2015,
SPOTTISWOODE RESIDENCES,2014,0.67 - OUTRAM PARK
SPOTTISWOODE SUITES,2017,
SPRING @ KATONG,2006,1.53 - DAKOTA
SPRING @ LANGSAT,2013,
SPRING GARDENS,2000,
SPRING GROVE,1996,0.73 - ORCHARD
SPRINGBROOK TERRACE,1998,
SPRINGDALE,2000,0.93 - BEAUTY WORLD
SPRINGDEW TERRACE,1994,
SPRINGHILL,2008,
SPRINGLEAF VILLAS,2005,
SPRINGVALE,1996,
SPRINGWOOD,1991,
ST ANNE'S WOOD,1996,
ST FRANCIS COURT,1994,
ST FRANCIS LODGE,1998,
ST MARTIN RESIDENCE,2001,0.85 - ORCHARD
ST MARTIN'S APARTMENTS,1986,0.84 - ORCHARD
ST MICHAEL REGENCY,2009,
ST MICHAEL'S CONDOMINIUM,2002,
ST MICHAEL'S PLACE,1997,
ST NICHOLAS VIEW,1999,
ST PATRICK'S COURT,1993,
ST PATRICK'S GARDEN,1981,
ST PATRICK'S LOFT,2008,1.41 - KEMBANGAN
ST PATRICK'S RESIDENCES,2013,1.43 - KEMBANGAN
ST PATRICK'S ROW,1991,
ST REGIS RESIDENCES,2008,0.65 - ORCHARD
ST THOMAS SUITES,2010,0.34 - SOMERSET
ST THOMAS VILLE,2000,
STADIA,2010,
STARLIGHT SUITES,2015,
STARVILLE,2006,0.82 - KAKI BUKIT
STELLAR RV,2015,
STEVENS LOFT,2003,0.28 - STEVENS
STEVENS SUITES,2014,
STILLZ RESIDENCE,2011,
STRAITS GARDENS,2005,
STRAITS RESIDENCES,2013,
STRATA,2006,0.25 - NOVENA
STRATFORD COURT,1998,0.58 - TANAH MERAH
STRATTON GREEN,2003,
STRATTON PARK,1992,
STRATUM,2016,
STUDIO 3,2005,1.02 - ORCHARD
STUDIO8,2014,
STUDIOS @ MARNE,2009,
STUDIOS @ TEMBELING,2012,
STURDEE VIEW,1998,
SUI GENERIS,2010,
SUITES 123,2010,
SUITES 28,2014,
SUITES @ AMBER,2011,
SUITES @ BRADDELL,2015,
SUITES @ CAIRNHILL,2010,0.32 - NEWTON
SUITES @ CHANGI,2013,
SUITES @ EASTCOAST,2014,
SUITES @ EUNOS,2014,
SUITES @ GUILLEMARD,2014,
SUITES @ KATONG,2014,
SUITES @ KOVAN,2012,
SUITES @ NEWTON,2016,
SUITES @ OWEN,2011,
SUITES @ PAYA LEBAR,2014,
SUITES @ SHREWSBURY,2013,
SUITES @ SIMS,2013,
SUITES @ SURREY,2008,0.48 - NOVENA
SUITES @ TOPAZ,2013,
SUITES AT BUKIT TIMAH,2015,
SUITES AT ORCHARD,2015,
SUITES DE LAUREL,2012,0.49 - BEAUTY WORLD
SUITES TWENTY-TWO,2005,
SUMMER GARDENS,1999,0.61 - TANAH MERAH
SUMMER GREEN,1996,
SUMMER PLACE,1988,
SUMMER SCENT,2013,
SUMMER VILLAS,2004,1.73 - BUANGKOK
SUMMERDALE,2001,0.81 - BOON LAY
SUMMERHILL,2003,0.49 - HILLVIEW
SUMMERLEA GREEN,1998,
SUMMITVILLE,2006,
SUN PLAZA,2001,
SUN ROSIER,1985,0.34 - BARTLEY
SUNBIRD PARK,1997,
SUNCOTTAGES,2015,
SUNFLOWER GRANDEUR,2004,0.4 - PAYA LEBAR
SUNFLOWER MANSIONS,2002,
SUNFLOWER REGENCY,2008,
SUNFLOWER RESIDENCE,2001,
SUNFLOWER VIEW,2002,
SUNGLADE,2003,0.26 - SERANGOON
SUNGROVE,1998,1.1 - CLEMENTI
SUNHAVEN,2003,0.67 - UPPER CHANGI
SUNNY GROVE,1996,
SUNNY LODGE,2014,
SUNNY PALMS,2004,
SUNNY PARC,2011,
SUNNYVALE APARTMENTS,1995,
SUNNYVALE RESIDENCES,2018,
SUNRISE GARDENS,1998,
SUNRISE VILLA,1993,
SUNSET LODGE,2002,
SUNSHINE GRANDEUR,2008,
SUNSHINE GROVE,2003,0.36 - SERANGOON
SUNSHINE LODGE,1998,
SUNSHINE LOFT,2005,
SUNSHINE MANSIONS,2006,
SUNSHINE PLAZA RESIDENCES,2001,0.17 - BENCOOLEN
SUNSHINE REGENCY,2007,0.97 - EUNOS
SUNSHINE RESIDENCE,2006,
SUNVILLE,2005,0.78 - BOON KENG
SURIN VILLAS,2013,
SUTTON PLACE,1989,0.59 - FARRER ROAD
SYCAMORE TREE,2016,
SYLVAN LODGE,2006,
SYMPHONY HEIGHTS,1998,0.66 - HILLVIEW
SYMPHONY SUITES,2019,
TAI HWAN PARK,1990,
TAI KENG VILLAS,1999,
TAI WAH BUILDING,1981,
TAIPAN GRAND,2005,1.46 - BEDOK
TAIPAN JADE,2005,
TAIPAN REGENCY,2003,
TAMAN SIGLAP,2006,
TAN CHIN TUAN MANSION,2008,0.59 - SOMERSET
TAN QUEE LAN SUITES,2006,
TAN QUEE SWEE BUILDING,1989,
TAN TONG MENG TOWER,1977,
TANAH MERAH GREEN,2000,
TANAH MERAH MANSIONS,1985,
TANAMERA CREST,2005,0.73 - TANAH MERAH
TANGERINE GROVE,2007,
TANGLIN HILL CONDOMINIUM,1982,1.36 - REDHILL
TANGLIN HILL MEADOWS,1997,1.3 - REDHILL
TANGLIN HILL VILLAS,1997,
TANGLIN PARK,1989,1.2 - REDHILL
TANGLIN REGENCY,1998,0.32 - REDHILL
TANGLIN RESIDENCES,2005,0.97 - ORCHARD
TANGLIN VIEW,2002,0.32 - REDHILL
TANJONG RIA CONDOMINIUM,1997,0.65 - STADIUM
TELOK INDAH,1995,
TELOK KURAU LODGE,1991,
TEMBELING CENTRE,1990,
TEMBELING RESIDENCE,2013,
TEN @ SUFFOLK,2007,0.56 - NOVENA
TERESA 8,2008,
TERESA VILLAS,2011,
TERESA VILLE,1986,1.17 - HARBOURFRONT
TERRASSE,2015,
TERRENE AT BUKIT TIMAH,2013,
TESSA LODGE,2008,
THE ABERDEEN,1998,
THE ABODE AT DEVONSHIRE,2002,0.28 - SOMERSET
THE ACACIAS,2009,0.68 - WOODLEIGH
THE ADARA,2010,1.57 - EUNOS
THE ALCOVE,2004,0.27 - ALJUNIED
THE AMARELLE,2010,
THE AMBIENCE AT PUNGGOL,2010,
THE AMBRA,2010,
THE AMBROSIA,2011,
THE AMERALD STUDIO,2012,
THE AMERY,2012,
THE AMORE,2017,
THE AMSTON,1998,
THE ANCHORAGE,1997,0.58 - QUEENSTOWN
THE ANSLEY,2004,0.68 - NOVENA
THE ARC AT DRAYCOTT,2008,
THE ARCADIA,1983,1 - TAN KAH KEE
THE ARECA,2003,
THE ARIEL,2011,
THE ARISTO @ AMBER,2013,
THE ARIZON,2009,
THE ARMADALE,2000,0.45 - NOVENA
THE ARRIS,2003,0.52 - TANJONG PAGAR
THE ARTE @ THOMSON,2010,0.75 - TOA PAYOH
THE ASTON,2002,0.9 - ORCHARD
THE ATRIA AT MEYER,1996,1.22 - MOUNTBATTEN
THE AXIS,2010,
THE AZURE,2008,2.75 - TANJONG PAGAR
THE AZZURO,2011,
THE BALE,2009,
THE BALMORAL,1986,0.62 - STEVENS
THE BALMORAL SPRING,2001,0.53 - NEWTON
THE BAYCOURT,1994,1.44 - TANAH MERAH
THE BAYRON,1998,0.25 - SOMERSET
THE BAYSHORE,1999,1.64 - BEDOK
THE BEACON,2008,0.54 - OUTRAM PARK
THE BEACON EDGE,2009,1.42 - EUNOS
THE BEAUMONT,1985,0.22 - SOMERSET
THE BECCAGAYLE,2006,
THE BELLEFORTE,2004,
THE BELVEDERE,2008,1.08 - MOUNTBATTEN
THE BENCOOLEN,1998,0.23 - ROCHOR
THE BENTLY RESIDENCES@KOVAN,2018,
THE BERTH BY THE COVE,2006,2.99 - TANJONG PAGAR
THE BERTHSIDE,2006,
THE BEVERLY,2013,
THE BLISS,2013,
THE BLOSSOMVALE,1999,0.2 - KING ALBERT PARK
THE BOTANIC ON LLOYD,2006,0.38 - SOMERSET
THE BOULEVARD RESIDENCES,2005,0.34 - ORCHARD
THE BOUTIQ,2014,
THE BREEZE BY THE EAST,2011,
THE BROWNSTONE,2019,
THE CAIRNHILL,1984,0.64 - NEWTON
THE CALLISTA,2006,0.81 - POTONG PASIR
THE CALROSE,2008,0.94 - YIO CHU KANG
THE CALYPSO,2005,1.38 - TANAH MERAH
THE CANOPY,2013,
THE CAPE,2014,1.59 - DAKOTA
THE CAPRI,1998,0.19 - STEVENS
THE CARPMAELINA,2006,
THE CASCADIA,2011,0.52 - KING ALBERT PARK
THE CASSANDRA,2006,
THE CATHAY RESIDENCES,2007,0.28 - DHOBY GHAUT
THE CENTRAL,2007,0.04 - CLARKE QUAY
THE CENTREN,2017,
THE CENTRIO,2010,
THE CENTRIS,2009,0.18 - BOON LAY
THE CHAMPAGNE,2004,
THE CHANCERY RESIDENCE,2006,0.8 - NOVENA
THE CHUAN,2008,0.32 - LORONG CHUAN
THE CITRINE,2008,
THE CITRON RESIDENCES,2019,
THE CLAYMORE,1985,0.47 - ORCHARD
THE CLAYTON,1998,0.5 - STEVENS
THE CLEARWATER,2002,0.29 - BEDOK RESERVOIR
THE CLEMENTVALE,2002,
THE CLIFT,2011,
THE COAST AT SENTOSA COVE,2009,3.24 - HARBOURFRONT
THE COLONNADE,1988,0.72 - ORCHARD
THE CORNWALL,2005,0.5 - HOLLAND VILLAGE
THE COSMOPOLITAN,2008,0.86 - SOMERSET
THE COTERIE @ HOLLAND,2015,
THE COTZ,2012,
THE COUNTRYSIDE,1997,
THE COURTYARD,1995,
THE CREEK @ BUKIT,2017,
THE CREST,2018,
THE CRISTALLO,2014,
THE CRITERION,2018,
THE DAFFODIL,1999,1.23 - TANAH MERAH
THE DEW,2004,0.75 - BUKIT BATOK
THE DRAYCOTT,1980,0.77 - NEWTON
THE EASTSIDE,2006,
THE EBONY,2013,
THE EDEN AT TAMPINES,2001,0.6 - TAMPINES EAST
THE EDGE ON CAIRNHILL,2003,0.41 - NEWTON
THE EDGEWATER,2003,
THE ELEGANCE @ CHANGI,2006,
THE ELEMENT @ STEVENS,2007,
THE ELYSIA,2005,
THE EQUATORIAL,2002,0.11 - STEVENS
THE ESPARIS,2006,
THE ESPIRA,2010,
THE ESTA,2008,1.42 - DAKOTA
THE ESTIVA,2008,
THE ESTORIL,1984,
THE ESTRELLA,2009,
THE ESTUARY,2013,0.76 - KHATIB
THE FERNHILL,2009,
THE FLORAVALE,2000,1.48 - PIONEER
THE FLORENTINE,2010,
THE FLORIDA,2000,0.88 - HOUGANG
THE FOLIAGE,2009,
THE FORD @ HOLLAND,2009,0.22 - HOLLAND VILLAGE
THE FORESTA @ MOUNT FABER,2015,
THE FORTUNE VIEW,1999,
THE GALE,2013,
THE GARDENS AT BISHAN,2004,1.94 - MARYMOUNT
THE GARDENS AT GERALD,2007,
THE GERANIUM,2007,
THE GLACIER,2005,
THE GLADES,2017,
THE GLENCAIRD RESIDENCES,2000,
THE GLYNDEBOURNE,2014,0.39 - STEVENS
THE GRANDHILL,2005,
THE GRANDIFLORA,2005,
THE GRANGE,2008,0.98 - ORCHARD
THE GREEN COLLECTION,2012,
THE GREENWICH,2014,2.72 - BUANGKOK
THE GREENWOOD,2011,
THE GREENWOOD ESTATE,2005,1.12 - SIXTH AVENUE
THE HACIENDA,1985,1.22 - BEDOK
THE HELICONIA,2003,0.71 - KEMBANGAN
THE HERMITAGE,1999,0.28 - NEWTON
THE HILLFORD,2017,
THE HILLIER,2016,
THE HILLOFT,2011,
THE HILLPARK,1978,
THE HILLSIDE,2001,1.15 - HILLVIEW
THE HOLLAND COLLECTION,2011,0.95 - FARRER ROAD
THE HORIZON,2003,0.92 - TIONG BAHRU
THE HUNTINGTON,2000,0.16 - NOVENA
THE IMPERIAL,2006,0.32 - FORT CANNING
THE INFINITI,2008,1.2 - CLEMENTI
THE INFLORA,2017,
THE INGLEWOOD,1990,
THE INSPIRA,2009,0.61 - FORT CANNING
THE INTERLACE,2013,1.08 - LABRADOR PARK
THE INTERWEAVE,2015,
THE JADE,2004,0.08 - BUKIT BATOK
THE LADYHILL,2003,1.04 - STEVENS
THE LAKEFRONT RESIDENCES,2014,
THE LANAI,2015,
THE LATTIZ,2010,
THE LAURELS,2014,
THE LEGACY,1999,0.39 - STEVENS
THE LEGEND,1996,0.42 - STEVENS
THE LENOX,2012,
THE LEVELZ,2004,0.51 - FARRER ROAD
THE LIGHT @ CAIRNHILL,2004,0.66 - NEWTON
THE LIGHTHOUSE,2004,1.25 - PASIR RIS
THE LINC,2006,0.57 - NOVENA
THE LINCOLN MODERN,2003,0.5 - NOVENA
THE LINCOLN RESIDENCES,2012,0.46 - NOVENA
THE LINE @ TANJONG RHU,2015,
THE LINEAR,2006,0.44 - BUKIT PANJANG
THE LOFT,2002,1.13 - ORCHARD
THE LUCENT,2012,
THE LUMIERE,2010,
THE LUMOS,2011,
THE LUSH,2015,
THE LUXE,2007,
THE LUXURIE,2015,
THE MADEIRA,2002,0.35 - BUKIT GOMBAK
THE MAKENA,1998,1.35 - DAKOTA
THE MARBELLA,2005,0.4 - DOVER
THE MARQ ON PATERSON HILL,2011,
THE MARQUE AT IRRAWADDY,2009,
THE MAYFAIR,2000,0.38 - CHINESE GARDEN
THE MAYLEA,2009,
THE MEDALLION,2009,
THE MEDLEY,2009,
THE MERASAGA,1995,0.17 - HOLLAND VILLAGE
THE MERCURY,2012,0.99 - ORCHARD
THE MERLOT,2009,
THE METROPOLITAN,2009,0.14 - REDHILL
THE METZ,2007,0.16 - SOMERSET
THE MEYER PLACE,1993,0.92 - MOUNTBATTEN
THE MEYERISE,2016,
THE MEZZO,2014,
THE MILTONIA RESIDENCES,2014,
THE MINT RESIDENCES,2008,
THE MINTON,2014,0.87 - SERANGOON
THE MKZ,2017,
THE MODULES,2009,
THE MONDRIAN,2002,
THE MONTAGE,2010,
THE MONTANA,2002,0.9 - ORCHARD
THE MORNING GLORY,2004,
THE MORNINGSIDE,1993,0.57 - SOMERSET
THE MORNINGTON,2004,
THE NAUTICAL,2016,
THE NCLAVE,2008,
THE NEXUS,2007,0.41 - KING ALBERT PARK
THE OCEANFRONT @ SENTOSA COVE,2010,3.25 - HARBOURFRONT
THE OCTET,2017,
THE OLIV,2013,
THE ORANGE GROVE,2010,
THE ORCHARD RESIDENCES,2010,0.06 - ORCHARD
THE ORIENT,2018,
THE OXLEY,1997,0.32 - DHOBY GHAUT
THE PALETTE,2016,
THE PALLADIUM,2003,
THE PANORAMA,2019,
THE PARC CONDOMINIUM,2010,0.65 - CLEMENTI
THE PARK VALE,1997,0.66 - TAN KAH KEE
THE PATERSON,2004,0.45 - ORCHARD
THE PATERSON EDGE,1999,0.31 - ORCHARD
THE PEAK,1988,0.5 - PASIR PANJANG
THE PEAK @ BALMEG,2011,
THE PEAK @ CAIRNHILL I,2014,
THE PEAK @ CAIRNHILL II,2018,
THE PEARL @ MOUNT FABER,2005,0.67 - HARBOURFRONT
THE PETALS,2002,1.12 - BUKIT GOMBAK
THE PIER @ ROBERTSON,2006,0.42 - FORT CANNING
THE POIZ RESIDENCES,2019,
THE PRINCETON,1999,0.75 - NEWTON
THE PROMENADE@PELIKAT,2016,
THE PROMINENCE,2005,
THE PROMONT,2010,
THE QUARTZ,2009,0.27 - BUANGKOK
THE QUAYSIDE,1998,0.66 - FORT CANNING
THE QUINN,2016,
THE QUINTET,2006,0.3 - YEW TEE
THE RAINTREE,2008,0.79 - BEAUTY WORLD
THE RED HOUSE,2014,
THE REGALIA,1993,0.54 - SOMERSET
THE REGENCY AT TIONG BAHRU,2010,0.62 - TIONG BAHRU
THE RESIDENCES AT W SENTOSA COVE,2010,
THE RICHMOND,1999,
THE RISE @ OXLEY RESIDENCES,2018,
THE RITZ-CARLTON RESIDENCES,2013,
THE RIVERINA,2000,
THE RIVERINE BY THE PARK,2010,0.32 - KALLANG
THE RIVERSIDE PIAZZA,1996,0.35 - CLARKE QUAY
THE RIVERVALE,2001,0.76 - BUANGKOK
THE ROCHESTER,2011,
THE SAIL @ MARINA BAY,2008,0.2 - DOWNTOWN
THE SANCTUARY @ GEYLANG,2014,
THE SANTORINI,2018,
THE SCALA,2014,
THE SCOTTS TOWER,2017,
THE SEAFRONT ON MEYER,2010,1.16 - MOUNTBATTEN
THE SEAVIEW,2008,1.57 - DAKOTA
THE SEAWIND,2015,
THE SENSORIA,2007,
THE SERENADE @ HOLLAND,2004,0.79 - DOVER
THE SERENNIA,2012,
THE SERENNO,2016,
THE SHAUGHNESSY,2007,1.59 - KHATIB
THE SHELFORD,2005,0.44 - TAN KAH KEE
THE SHORE RESIDENCES,2014,1.41 - DAKOTA
THE SHORELINE RESIDENCES I,2015,
THE SHORELINE RESIDENCES II,10,
THE SIENA,2020,
THE SIERRA,1998,0.74 - DOVER
THE SILVA GARDENS,2007,
THE SILVER FIR,2012,
THE SILVER SPURZ,2007,
THE SILVERTON,2000,
THE SIXTH AVENUE RESIDENCES,2009,0.59 - SIXTH AVENUE
THE SKYWOODS,2015,
THE SOLITAIRE,2009,0.59 - STEVENS
THE SORRENTO,2015,
THE SOUND,2013,1.28 - KEMBANGAN
THE SOVEREIGN,1993,1.34 - DAKOTA
THE SPECTRUM,2006,1.73 - KENT RIDGE
THE SPINNAKER,2000,0.6 - NOVENA
THE SPRINGBLOOM,1999,0.07 - LORONG CHUAN
THE SPRINGFIELD,1999,0.65 - TANAH MERAH
THE SPRINGS,2003,0.28 - NOVENA
THE SPRINGSIDE,1999,
THE STELLAR,2008,1.89 - KENT RIDGE
THE STERLING,2000,0.14 - KING ALBERT PARK
THE SUITES @ CENTRAL,2009,0.2 - SOMERSET
THE SUMMIT,1994,1.47 - TANAH MERAH
THE SUNNIDORA,2006,
THE SUNNIFLORA,2005,
THE SUNNY LEGEND,2006,
THE SUNNY SPRING,1998,
THE SUNNYDALE,2002,
THE SUNSHINE,2003,0.4 - SERANGOON
THE TAIPAN,2003,1.39 - BEDOK
THE TANAMERA,1994,0.33 - TANAH MERAH
THE TATE RESIDENCES,2010,
THE TEMBUSU,2018,
THE TENERIFFE,2004,0.86 - SIXTH AVENUE
THE TENNERY,2013,
THE TERRACE,2018,
THE TESSARINA,2003,0.74 - KING ALBERT PARK
THE THOMSON DUPLEX,2010,
THE TIER,2013,
THE TOMLINSON,2003,0.67 - ORCHARD
THE TREELINE,2009,
THE TRESOR,2007,
THE TREVOSE,2001,0.34 - STEVENS
THE TRILINQ,2017,
THE TRILLIUM,2010,
THE TRIZON,2012,0.63 - DOVER
THE TROPIC GARDENS,1995,
THE TROPICA,2001,1.28 - TAMPINES WEST
THE TRUMPS,2005,0.13 - KEMBANGAN
THE TWINS,2002,0.48 - NEWTON
THE URBANITE,2014,
THE VALES,2017,
THE VANDERLINT,2015,
THE VANTAGE,1999,
THE VENTANA,2005,0.39 - HAW PAR VILLA
THE VENUE RESIDENCES,2017,
THE VERTE,2011,
THE VERV @ RV,2012,
THE VERVE,2012,0.58 - TOA PAYOH
THE VESTA,2008,0.87 - KEMBANGAN
THE VIEW @ MEYER,2009,1 - MOUNTBATTEN
THE VILLAS @ SENTOSA COVE,2007,
THE VILLAS OF YARWOOD,2001,
THE VINES,2004,
THE VIRIDIAN,2014,
THE VISION,2013,
THE VUE,2014,
THE WARREN,2004,0.15 - CHOA CHU KANG
THE WATER EDGE,2015,
THE WATERINA,2005,0.42 - DAKOTA
THE WATERLINE,2013,
THE WATERSIDE,1993,0.92 - MOUNTBATTEN
THE WHARF RESIDENCES,2012,0.5 - FORT CANNING
THE WHITLEY RESIDENCES,2017,
THE WILSHIRE,1984,0.63 - FARRER ROAD
THE WINDSOR,1987,
THE WISTERIA,2018,
THE WOODGROVE,1998,
THE WOODS,2016,
THE YARDLEY,2005,0.26 - SERANGOON
THOMSON 800 CONDO,1999,0.41 - CALDECOTT
THOMSON EURO-ASIA,2002,0.19 - NOVENA
THOMSON GRAND,2015,
THOMSON GROVE,1984,
THOMSON IMPERIAL COURT,1999,
THOMSON IMPRESSIONS,2019,
THOMSON THREE,2017,
THOMSON V ONE,2008,
THOMSON V TWO,2009,
THOMSON VALE,2002,0.58 - NOVENA
THOMSON VIEW CONDO,1987,1.2 - MARYMOUNT
THREE 11,2017,
THREE BALMORAL,2016,
THREE BUCKLEY,2009,
THREE THREE ROBIN,2006,0.44 - STEVENS
TIAN COURT,1988,
TIARA,1995,0.95 - SOMERSET
TIERRA VUE,2009,1.44 - KEMBANGAN
TIVOLI GARDENS,1999,
TIVOLI GRANDE,2012,
TOH YI COURT,1986,
TOMLINSON HEIGHTS,2016,
TOPAZ MANSIONS,1994,
TORIE MANSIONS,1993,
TORIEVIEW MANSIONS,1995,0.42 - ALJUNIED
TORIEVILLE,1994,
TRE RESIDENCES,2018,
TREASURE LOFT,2004,
TREASURE MANSIONS,2005,
TREASURE ON BALMORAL,2013,
TREASURE PLACE,2007,0.69 - PASIR PANJANG
TREASURES @ G19,2015,
TREASURES @ G20,2016,
TREASURES @ G6,2017,
TREE HOUSE,2013,1.34 - HILLVIEW
