condo_name,top_year,km_mrt
CHESTNUT GARDENS,1993,
CHESTNUT GREEN,1994,
CHESTNUT RESIDENCES,2009,
CHESTNUT VILLE,1984,
CHILTERN PARK,1995,
CHIVERTON,2003,0.46 - STEVENS
CHOON KIM HOUSE,2000,
CHUAN PARK,1985,0.16 - LORONG CHUAN
CHUAN TERRACE,1989,
CHUAN VILLAS,2001,
CHUAN VISTA,2000,
CHUVILLE,1990,0.37 - HAW PAR VILLA
CITIGATE RESIDENCE,2011,
CITY EDGE,2008,
CITY GATE,2018,
CITY LOFT,2011,
CITY REGENCY,2009,
CITY SQUARE RESIDENCES,2009,0.44 - FARRER PARK
CITY STUDIOS,2010,
CITY SUITES,2016,
CITY VISTA RESIDENCE,2011,
CITYLIFE @ TAMPINES,2016,
CITYLIGHTS,2007,0.12 - LAVENDER
CITYSCAPE AT FARRER PARK,2015,
CITYVALE,2003,
CLAREMONT,2001,0.47 - SOMERSET
CLASSICAL TERRACE,1995,
CLEMENTI PARK CONDO,1985,1.55 - BEAUTY WORLD
CLEMENTI WOODS CONDO,2010,
CLIFTEN,2007,
CLIVEDEN AT GRANGE,2011,0.79 - ORCHARD
CLOVER BY THE PARK,2012,1 - BISHAN
CLUNY PARK RESIDENCE,2016,
CLYDES RESIDENCE,2006,0.55 - FARRER PARK
CLYDESVIEW,1991,
CLYDESWOOD,1993,
COASTAL BREEZE RESIDENCES,2012,
COASTAL VIEW RESIDENCES,2009,
COASTARINA,2006,1.41 - KEMBANGAN
COCO PALMS,2019,
COMMONWEALTH TOWERS,2019,
COMPASS HEIGHTS,2003,0.1 - SENGKANG
CONCOURSE SKYLINE,2014,0.28 - NICOLL HIGHWAY
CORAL ISLAND,2007,
CORALIS,2013,1.71 - EUNOS
CORALS AT KEPPEL BAY,2016,0.69 - HARBOURFRONT
CORONA COURT,1984,
CORONA VILLE,1982,0.95 - SIXTH AVENUE
CORONATION ARCADE,1984,
CORONATION GROVE,1985,
CORONATION VILLAGE,1990,
COSMO,2010,
COSTA DEL SOL,2003,1.69 - BEDOK
COSTA ESTE,2009,
COSTA RHU,1998,0.56 - NICOLL HIGHWAY
COSY 23,1999,
COSY LODGE,2002,
COTE D'AZUR,2005,1.79 - DAKOTA
COUNTRY ESQUIRE,1992,1.55 - MARYMOUNT
COUNTRY GRANDEUR,1996,
COUNTRY PARK,2003,0.3 - SUNGEI BEDOK
CRADELS,2015,
CRAIG PLACE,2003,0.43 - OUTRAM PARK
CRESCENDO PARK,1996,1.26 - BEDOK
CRYSTAL COURT,1988,
CRYSTAL DE AZURE,2006,0.23 - BARTLEY
CRYSTAL DEW,2004,
