"","name","type","rent","date"
"163","ECHELON","Condo","5.86","18"
"164","DUO RESIDENCES","Condo","6","18"
"165","JJ'S RESIDENCES","Condo","4.75","18"
"166","JJ'S RESIDENCES","Condo","6.2","18"
"167","BRADDELL HEIGHTS ESTATE","NA","2.22","18"
"168","COSTA DEL SOL","Condo","4.41","18"
"169","NOUVEL 18","Condo","5.36","18"
"170","8 VANDA ROAD","NA","1.97","18"
"171","THE SERENADE @ HOLLAND","Condo","3.13","18"
"172","7 KALLANG PLACE","NA","1.9","18"
"173","10 KAKI BUKIT AVENUE 1","NA","1.8","18"
"174","11 CHANGI NORTH STREET 1","NA","1.8","18"
"175","512 CHAI CHEE LANE","NA","1.6","18"
"176"," CHANGI SOUTH STREET 1","NA","1.7","18"
"177","30A KALLANG PLACE","NA","4.2","18"
"178","1091 LOWER DELTA ROAD","NA","2.3","18"
"179","1090 LOWER DELTA ROAD","NA","1.95","18"
"180","TANGLIN HALT INDUSTRIAL ESTATE","NA","2.4","18"
"181","THE SERENADE @ HOLLAND","Condo","3.13","18"
"182","7 KALLANG PLACE","NA","1.9","18"
"183","10 KAKI BUKIT AVENUE 1","NA","1.8","18"
"184","11 CHANGI NORTH STREET 1","NA","1.8","18"
"185","512 CHAI CHEE LANE","NA","1.6","18"
"186"," CHANGI SOUTH STREET 1","NA","1.7","18"
"187","30A KALLANG PLACE","NA","4.2","18"
"188","1091 LOWER DELTA ROAD","NA","2.3","18"
"189","1090 LOWER DELTA ROAD","NA","1.95","18"
"190","TANGLIN HALT INDUSTRIAL ESTATE","NA","2.4","18"
"191","1003 BUKIT MERAH CENTRAL","NA","3.3","18"
"192","HDB @ BUKIT BATOK","NA","2.17","18"
"193","NOUVEL 18","Condo","5.65","18"
"194","NOUVEL 18","Condo","5.66","18"
"195","HDB @ CLEMENTI","NA","3.19","18"
"196","NOUVEL 18","Condo","5.62","18"
"197","1001 JALAN BUKIT MERAH","NA","2.3","18"
"198","OXLEY BUZHUB","NA","5.56","18"
"199","OXLEY BIZHUB","NA","1.72","18"
